_id,hotel_name,hotel_id,hotel_location_info,hotel_grade_text,hotel_city_name,secondary_address,primary_address,lat,lng,province,city,area
674fcd75e087432f8b68a05c,北京后海鼓楼四合院漫心府,beijing_city_113342,近什刹海 · 后海/南锣鼓巷,高档型,北京,什刹海,后海/南锣鼓巷,,,,,
674fcd75e087432f8b68a065,秋果酒店(北京总部基地店),beijing_city_113406,近湖南衡阳 · 总部基地/丰台/南宫,高档型,北京,湖南衡阳,总部基地/丰台/南宫,,,,,
674fcd75e087432f8b68a067,古北水镇新青年艺术酒店,beijing_city_113412,古北水镇景区内,高档型,北京,古北水镇景区内,,,,,,
674fcd75e087432f8b68a06c,北京小汤一瓢温泉度假民宿,beijing_city_113436,近小汤山路口 · 小汤山温泉区,高档型,北京,小汤山路口,小汤山温泉区,,,,,
674fcd75e087432f8b68a075,北京一川Year Swang私汤露营民宿,beijing_city_113463,近北京紫云山庄 · 古北水镇,高档型,北京,北京紫云山庄,古北水镇,,,,,
674fcd75e087432f8b68a07c,北京月亮河璞玥酒店,beijing_city_113474,近北京(通州)大运河文化旅游景区 · 通州运河商务区,高档型,北京,北京(通州)大运河文化旅游景区,通州运河商务区,,,,,
674fcd75e087432f8b68a08e,桔子水晶北京国贸建国门酒店,beijing_city_11352,近永安里地铁站 · 国贸CBD,高档型,北京,永安里地铁站,国贸CBD,,,,,
674fcd75e087432f8b68a0a2,秋果酒店(北京国贸朝阳路店),beijing_city_113982,近四惠地铁站 · 国贸CBD,高档型,北京,四惠地铁站,国贸CBD,,,,,
674fcd75e087432f8b68a0a3,北京西西友谊酒店,beijing_city_114,近西单地铁站 · 西单/金融街,高档型,北京,西单地铁站,西单/金融街,,,,,
674fcd75e087432f8b68a0aa,秋果S1918庭院式酒店(北京天安门店),beijing_city_114304,近珠市口地铁站 · 前门/天坛公园/崇文门,高档型,北京,珠市口地铁站,前门/天坛公园/崇文门,,,,,
674fcd75e087432f8b68a0af,麗枫酒店(北京首都机场新国展店),beijing_city_114361,近六元桥 · 顺义温泉区,高档型,北京,六元桥,顺义温泉区,,,,,
674fcd75e087432f8b68a0b2,格兰云天·阅酒店(北京奥宇店),beijing_city_114376,近莱茵河洗浴中心 · 大兴机场,高档型,北京,莱茵河洗浴中心,大兴机场,,,,,
674fcd75e087432f8b68a0b6,北京海淀万枫酒店,beijing_city_114535,近航天宏图大厦 · 沙河大学城/上庄,高档型,北京,航天宏图大厦,沙河大学城/上庄,,,,,
674fcd75e087432f8b68a0b9,北京厦门大厦颐豪酒店(中关村知春路地铁站店),beijing_city_114793,近北京航空航天大学 · 中关村/五道口,高档型,北京,北京航空航天大学,中关村/五道口,,,,,
674fcd75e087432f8b68a0ba,北京泰康研修院,beijing_city_114813,近北京大学国际医院 · 沙河大学城/上庄,高档型,北京,北京大学国际医院,沙河大学城/上庄,,,,,
674fcd75e087432f8b68a0c9,朗丽兹酒店(北京亦庄桥地铁站店),beijing_city_114941,近亦庄桥地铁站 · 亦庄,高档型,北京,亦庄桥地铁站,亦庄,,,,,
674fcd75e087432f8b68a0ce,北京大红门银泰亚朵酒店,beijing_city_115078,近角门东地铁站 · 永定门/南站/大红门/南苑,高档型,北京,角门东地铁站,永定门/南站/大红门/南苑,,,,,
674fcd75e087432f8b68a0d1,北京上地清河高铁站亚朵S酒店,beijing_city_115151,近清河站 · 上地产业园/西三旗,高档型,北京,清河站,上地产业园/西三旗,,,,,
674fcd75e087432f8b68a0d4,北京西站丽泽商务区希尔顿欢朋酒店,beijing_city_115170,近北京马连道茶城(万家上品宜购商场店) · 北京西站/丽泽商务区,高档型,北京,北京马连道茶城(万家上品宜购商场店),北京西站/丽泽商务区,,,,,
674fcd75e087432f8b68a0d9,秋果酒店(北京丽泽金融商务区店),beijing_city_115193,近七里庄地铁站 · 北京西站/丽泽商务区,高档型,北京,七里庄地铁站,北京西站/丽泽商务区,,,,,
674fcd75e087432f8b68a0db,时光漫步S酒店(北京央视店),beijing_city_115196,近无印良品（华贸店） · 国贸CBD,高档型,北京,无印良品（华贸店）,国贸CBD,,,,,
674fcd75e087432f8b68a0dc,龙庆峡蒲里日记·冬至汤泉民宿,beijing_city_115199,近延庆区张山营镇石京龙滑雪场 · 延庆度假区,高档型,北京,延庆区张山营镇石京龙滑雪场,延庆度假区,,,,,
674fcd75e087432f8b68a0de,映向城酒店(北京通州万达广场果园店),beijing_city_115204,近通州站 · 通州运河商务区,高档型,北京,通州站,通州运河商务区,,,,,
674fcd75e087432f8b68a0df,桔子水晶北京朝阳门酒店,beijing_city_115206,近首都儿科研究所附属儿童医院 · 三里屯/工体/东直门,高档型,北京,首都儿科研究所附属儿童医院,三里屯/工体/东直门,,,,,
674fcd75e087432f8b68a0f6,北京N31酒店,beijing_city_115265,近鼓楼大街地铁站 · 马甸/安贞,高档型,北京,鼓楼大街地铁站,马甸/安贞,,,,,
674fcd75e087432f8b68a0f8,桔子水晶北京国贸合生汇酒店,beijing_city_115275,近合生汇 · 国贸CBD,高档型,北京,合生汇,国贸CBD,,,,,
674fcd75e087432f8b68a0fa,北京便宜坊酒店(天安门广场店),beijing_city_115288,近天安门广场 · 前门/天坛公园/崇文门,高档型,北京,天安门广场,前门/天坛公园/崇文门,,,,,
674fcd75e087432f8b68a0fd,桔子水晶北京南站西铁营酒店,beijing_city_115305,近首都医科大学 · 永定门/南站/大红门/南苑,高档型,北京,首都医科大学,永定门/南站/大红门/南苑,,,,,
674fcd75e087432f8b68a107,北京亦庄通明湖智选假日酒店,beijing_city_115358,近次渠南地铁站 · 亦庄,高档型,北京,次渠南地铁站,亦庄,,,,,
674fcd75e087432f8b68a108,北京天坛东门亚朵酒店,beijing_city_115361,近磁器口地铁站 · 前门/天坛公园/崇文门,高档型,北京,磁器口地铁站,前门/天坛公园/崇文门,,,,,
674fcd75e087432f8b68a119,桔子水晶北京朝阳公园酒店,beijing_city_115756,近十里堡地铁站 · 燕莎/朝阳公园,高档型,北京,十里堡地铁站,燕莎/朝阳公园,,,,,
674fcd75e087432f8b68a11a,桔子水晶北京亦庄经济开发区酒店,beijing_city_115760,近定海园地铁站 · 亦庄,高档型,北京,定海园地铁站,亦庄,,,,,
674fcd75e087432f8b68a124,桔子酒店(北京大兴生物医药基地龙湖天街店),beijing_city_115815,近生物医药基地地铁站 · 大兴机场,高档型,北京,生物医药基地地铁站,大兴机场,,,,,
674fcd75e087432f8b68a128,北京天安门王府井美仑酒店,beijing_city_115825,近王府井 · 天安门/王府井,高档型,北京,王府井,天安门/王府井,,,,,
674fcd75e087432f8b68a129,秋果酒店(北京中关村生命科学园店),beijing_city_115836,近碧水庄园 · 沙河大学城/上庄,高档型,北京,碧水庄园,沙河大学城/上庄,,,,,
674fcd75e087432f8b68a12a,北京中关村北外亚朵S酒店,beijing_city_115838,近北京理工大学 · 西直门/北京展览馆,高档型,北京,北京理工大学,西直门/北京展览馆,,,,,
674fcd75e087432f8b68a12f,北京达园宾馆,beijing_city_11586,近中国中医科学院西苑医院 · 中关村/五道口,高档型,北京,中国中医科学院西苑医院,中关村/五道口,,,,,
674fcd75e087432f8b68a13a,时光赞歌花园酒店(北京大兴旺兴湖公园店),beijing_city_115925,近瀑布 · 大兴机场,高档型,北京,瀑布,大兴机场,,,,,
674fcd75e087432f8b68a13b,花筑·北京长城玖号院民宿,beijing_city_115950,近二道关村 · 怀柔景区,高档型,北京,二道关村,怀柔景区,,,,,
674fcd75e087432f8b68a141,北京天通苑立水桥地铁站轻居酒店,beijing_city_115967,近立水桥地铁站 · 回龙观/天通苑,高档型,北京,立水桥地铁站,回龙观/天通苑,,,,,
674fcd75e087432f8b68a144,秋果酒店(北京三里屯工体店),beijing_city_115983,近三里屯 · 三里屯/工体/东直门,高档型,北京,三里屯,三里屯/工体/东直门,,,,,
674fcd75e087432f8b68a14a,北京中关村生命科学园亚朵酒店,beijing_city_115999,近北京大学国际医院 · 沙河大学城/上庄,高档型,北京,北京大学国际医院,沙河大学城/上庄,,,,,
674fcd75e087432f8b68a14e,北京雍和宫漫心酒店,beijing_city_116013,近和平里 · 国展中心,高档型,北京,和平里,国展中心,,,,,
674fcd75e087432f8b68a15d,秋果酒店(北京中关村店),beijing_city_116119,近中国政法大学(海淀校区) · 中关村/五道口,高档型,北京,中国政法大学(海淀校区),中关村/五道口,,,,,
674fcd75e087432f8b68a17b,北京南锣鼓巷古韵漫心府,beijing_city_116367,南锣鼓巷景区内,高档型,北京,南锣鼓巷景区内,,,,,,
674fcd75e087432f8b68a185,花筑·桂庭俊舍(北京宽沟店),beijing_city_116464,近世纪公园 · 怀柔景区,高档型,北京,世纪公园,怀柔景区,,,,,
674fcd75e087432f8b68a187,北京亚运村国家会议中心亚朵酒店,beijing_city_116468,近亚运村 · 亚运村/奥体中心,高档型,北京,亚运村,亚运村/奥体中心,,,,,
674fcd75e087432f8b68a197,北京右安门西铁营地铁站亚朵酒店,beijing_city_116535,近首都医科大学附属北京佑安医院 · 永定门/南站/大红门/南苑,高档型,北京,首都医科大学附属北京佑安医院,永定门/南站/大红门/南苑,,,,,
674fcd75e087432f8b68a19b,花韵丁香酒店(北京南站牛街店),beijing_city_116545,近牛街 · 前门/天坛公园/崇文门,高档型,北京,牛街,前门/天坛公园/崇文门,,,,,
674fcd75e087432f8b68a1a8,秋果酒店(北京望京SOHO店),beijing_city_116610,近望京南地铁站 · 望京/酒仙桥/798,高档型,北京,望京南地铁站,望京/酒仙桥/798,,,,,
674fcd75e087432f8b68a1b1,北京安贞地坛亚朵酒店,beijing_city_116711,近安贞桥 · 马甸/安贞,高档型,北京,安贞桥,马甸/安贞,,,,,
674fcd75e087432f8b68a1b5,桔子水晶北京天坛酒店,beijing_city_116730,近蒲黄榆地铁站 · 永定门/南站/大红门/南苑,高档型,北京,蒲黄榆地铁站,永定门/南站/大红门/南苑,,,,,
674fcd75e087432f8b68a1b6,北京观唐汇酒店,beijing_city_116731,近北京赛特奥莱(香江北路店) · 首都机场/新国展,高档型,北京,北京赛特奥莱(香江北路店),首都机场/新国展,,,,,
674fcd75e087432f8b68a1bd,秋果酒店(北京新国展首都机场三店),beijing_city_116759,近潮白河水上游玩 · 顺义温泉区,高档型,北京,潮白河水上游玩,顺义温泉区,,,,,
674fcd75e087432f8b68a1bf,桔子水晶北京丽泽商务区天坛医院酒店,beijing_city_116764,近首都经济贸易大学 · 总部基地/丰台/南宫,高档型,北京,首都经济贸易大学,总部基地/丰台/南宫,,,,,
674fcd75e087432f8b68a1fb,秋果酒店(北京复兴门中央音乐学院店),beijing_city_117051,近中国中医科学院广安门医院 · 西单/金融街,高档型,北京,中国中医科学院广安门医院,西单/金融街,,,,,
674fcd75e087432f8b68a208,北京天安门王府井合院漫心府,beijing_city_117170,近王府井 · 天安门/王府井,高档型,北京,王府井,天安门/王府井,,,,,
674fcd75e087432f8b68a22a,北京亦庄经济开发区希尔顿欢朋酒店,beijing_city_117889,近北京市医疗器械检验研究院 · 亦庄,高档型,北京,北京市医疗器械检验研究院,亦庄,,,,,
674fcd75e087432f8b68a230,北京稻香湖景酒店,beijing_city_118,近稻香湖景温泉 · 沙河大学城/上庄,高档型,北京,稻香湖景温泉,沙河大学城/上庄,,,,,
674fcd75e087432f8b68a246,北京盛捷大兴酒店,beijing_city_118143,近燕保高米店家园 · 大兴机场,高档型,北京,燕保高米店家园,大兴机场,,,,,
674fcd75e087432f8b68a24a,北京运河商务区希尔顿欢朋酒店,beijing_city_118172,近北京(通州)大运河文化旅游景区 · 通州运河商务区,高档型,北京,北京(通州)大运河文化旅游景区,通州运河商务区,,,,,
674fcd75e087432f8b68a24e,北京中国石化会议中心,beijing_city_11843,近北京中国石化会议中心 · 昌平城区/十三陵度假区,高档型,北京,北京中国石化会议中心,昌平城区/十三陵度假区,,,,,
674fcd75e087432f8b68a263,花筑奢·北京怀柔兰亭温泉度假酒店(慕田峪长城店),beijing_city_119181,近慕田峪长城L旅游区-摆渡车站 · 怀柔景区,高档型,北京,慕田峪长城L旅游区-摆渡车站,怀柔景区,,,,,
674fcd75e087432f8b68a26c,北京延庆源宿酒店,beijing_city_119217,近金隅八达岭温泉度假村 · 延庆度假区,高档型,北京,金隅八达岭温泉度假村,延庆度假区,,,,,
674fcd75e087432f8b68a270,明珠酒店(北京首都机场新国展店),beijing_city_119224,近天竺(地区)镇 · 首都机场/新国展,高档型,北京,天竺(地区)镇,首都机场/新国展,,,,,
674fcd75e087432f8b68a271,桔子水晶北京长楹天街酒店,beijing_city_119225,近常营地铁站 · 传媒大学/管庄,高档型,北京,常营地铁站,传媒大学/管庄,,,,,
674fcd75e087432f8b68a28a,北京雍和宫和平里轻居酒店,beijing_city_119305,近雍和宫 · 国展中心,高档型,北京,雍和宫,国展中心,,,,,
674fcd75e087432f8b68a292,桔子水晶北京国贸中心酒店,beijing_city_119328,近国贸地铁站 · 国贸CBD,高档型,北京,国贸地铁站,国贸CBD,,,,,
674fcd75e087432f8b68a293,北京麦壳天香酒店,beijing_city_119329,近河防口村 · 怀柔景区,高档型,北京,河防口村,怀柔景区,,,,,
674fcd75e087432f8b68a294,时仓Storage民宿,beijing_city_119332,近河防口村 · 怀柔景区,高档型,北京,河防口村,怀柔景区,,,,,
674fcd75e087432f8b68a29c,北京国贸CBD亚朵S酒店xFunsCenter,beijing_city_119359,近无印良品（华贸店） · 国贸CBD,高档型,北京,无印良品（华贸店）,国贸CBD,,,,,
674fcd75e087432f8b68a2a7,美朋·轻奢酒店(北京亚运村奥体中心店),beijing_city_119398,近北京联合大学 · 亚运村/奥体中心,高档型,北京,北京联合大学,亚运村/奥体中心,,,,,
674fcd75e087432f8b68a2a9,隐卓酒店,beijing_city_119407,近三里屯 · 燕莎/朝阳公园,高档型,北京,三里屯,燕莎/朝阳公园,,,,,
674fcd75e087432f8b68a2aa,北京远航国际酒店(首都机场新国展店),beijing_city_119409,近天竺(地区)镇 · 首都机场/新国展,高档型,北京,天竺(地区)镇,首都机场/新国展,,,,,
674fcd75e087432f8b68a2ae,北京三里屯太古里CitiGO欢阁酒店,beijing_city_119414,近三里屯 · 三里屯/工体/东直门,高档型,北京,三里屯,三里屯/工体/东直门,,,,,
674fcd75e087432f8b68a2b1,北京建国门漫心酒店,beijing_city_119422,近建国门地铁站 · 三里屯/工体/东直门,高档型,北京,建国门地铁站,三里屯/工体/东直门,,,,,
674fcd75e087432f8b68a2b5,秋果酒店(北京建国门CBD店),beijing_city_119428,近建国门地铁站 · 国贸CBD,高档型,北京,建国门地铁站,国贸CBD,,,,,
674fcd75e087432f8b68a2b8,北京天安门王府井步行街亚朵酒店,beijing_city_119435,近王府井 · 天安门/王府井,高档型,北京,王府井,天安门/王府井,,,,,
674fcd75e087432f8b68a2be,栖乡迹民宿,beijing_city_119450,近黄花城水库 · 怀柔景区,高档型,北京,黄花城水库,怀柔景区,,,,,
674fcd75e087432f8b68a2dc,THE HUMBLE 厚居酒店(北京国家会议中心鸟巢店),beijing_city_119557,近亚运村 · 亚运村/奥体中心,高档型,北京,亚运村,亚运村/奥体中心,,,,,
674fcd75e087432f8b68a2de,北京望京希尔顿欢朋酒店,beijing_city_119565,近望京地铁站 · 望京/酒仙桥/798,高档型,北京,望京地铁站,望京/酒仙桥/798,,,,,
674fcd75e087432f8b68a2e4,瑰悦酒店(北京新国展首都机场店),beijing_city_119581,近国展地铁站 · 首都机场/新国展,高档型,北京,国展地铁站,首都机场/新国展,,,,,
674fcd75e087432f8b68a2e9,北京世园凯悦嘉轩酒店,beijing_city_119589,近卡塔尔园 · 延庆度假区,高档型,北京,卡塔尔园,延庆度假区,,,,,
674fcd75e087432f8b68a2ed,北京五棵松漫心酒店,beijing_city_119604,近永定路 · 公主坟/五棵松/石景山游乐园,高档型,北京,永定路,公主坟/五棵松/石景山游乐园,,,,,
